Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2015-10-21,11.860381126403809,11.860381126403809,11.732654501888856,11.842133968574602,974800,11.529379328806892,11.31777967186953,11.152142755237355,10.99224038961607
2015-10-22,11.98202133178711,11.982021331787111,11.817800462790865,11.842128835922164,1554700,11.572488090995485,11.34382836441532,11.168575994376955,11.002088956204837
2015-10-23,11.732656478881836,11.982028544085221,11.574517898004643,11.97594615711725,1234300,11.587742223175137,11.359076525766948,11.17974590496121,11.009358284788687
2015-10-26,11.817809104919434,11.915124988801786,11.665752891341153,11.8421374958416,1063700,11.609653354769833,11.377066038674888,11.192380819811868,11.017402571556158
2015-10-27,11.829971313476562,11.915122403372711,11.729613677444735,11.836052539814922,888100,11.630636017503807,11.394827029843581,11.205006374141862,11.025487832669794
2015-10-28,12.129538536071777,12.135652354653375,11.836082240705121,11.85442253035825,1308800,11.678150543081708,11.4236392457741,11.22331394170483,11.036473411808123
2015-10-29,12.147876739501953,12.166217024244892,12.007261281955115,12.013375098899877,1043700,11.722886371312207,11.452040716116368,11.241622115918634,11.047532151387166
2015-10-30,12.056177139282227,12.15399593085552,12.050063319047398,12.11731417553853,689200,11.754628349214112,11.475732340554245,11.257751918361478,11.057568419923435
2015-11-02,12.221244812011719,12.221244812011719,12.031721079732915,12.098971925354208,1377600,11.799068012337695,11.504968123748656,11.276830985562473,11.069147289496454
2015-11-03,12.215134620666504,12.221248441728957,12.160111397196571,12.196794323571284,1071200,11.838693403607104,11.532817790294454,11.295411255564533,11.080550148513073
2015-11-04,12.160104751586914,12.202900309543773,12.105081558187665,12.202900309543773,974300,11.869304008176611,11.557417278972588,11.312533899050123,11.091291985359579
2015-11-05,12.178451538085938,12.18456535848457,12.062291282695936,12.18456535848457,1251700,11.898746630072738,11.5817715636437,11.329680782991426,11.102109493346905
2015-11-06,12.44133186340332,12.441331863403319,11.988919944054812,12.117306590342752,2896500,11.950421414199461,11.615479810693097,11.35169367567285,11.115435089068859
2015-11-09,12.520812034606934,12.533039670244746,12.30683307531128,12.33740216440581,2329100,12.004744330428743,11.650983035160307,11.374844534265605,11.129418939273219
2015-11-10,12.520812034606934,12.520812034606934,12.331288346586906,12.471902658147199,1380400,12.053893635588569,11.685093976315077,11.39753696001494,11.143263646689475
2015-11-11,12.227356910705566,12.453563526633934,12.14482211162731,12.422994434702195,1779900,12.070413947504473,11.70635918942843,11.413969038246437,11.154050644341376
2015-11-12,12.007266998291016,12.257927781902367,11.98281288496137,12.215132209006562,1182900,12.064399952341287,11.718159495658334,11.425717512702764,11.162540359306051
2015-11-13,12.01337718963623,12.325174911534432,11.97058162966636,12.050058931597327,2157200,12.059540641607471,11.729736660128054,11.437354337988575,11.17100639741879
